understat_name,short_title,fpl_name,clubelo_name
Hull,HUL,Hull City,Hull
Leicester,LEI,Leicester City,Leicester
Crystal Palace,CRY,Crystal Palace,CrystalPalace
West Bromwich Albion,WBA,West Brom,WestBrom
Everton,EVE,Everton,Everton
Tottenham,TOT,Tottenham,Tottenham
Burnley,BUR,Burnley,Burnley
Swansea,SWA,Swansea City,Swansea
Middlesbrough,MID,Middlesbrough,Middlesbrough
Stoke,STO,Stoke City,Stoke
Southampton,SOU,Southampton,Southampton
Watford,WAT,Watford,Watford
Manchester City,MCI,Manchester City,ManCity
Sunderland,SUN,Sunderland,Sunderland
Bournemouth,BOU,Bournemouth,Bournemouth
Manchester United,MUN,Manchester Utd,ManUnited
Arsenal,ARS,Arsenal,Arsenal
Liverpool,LIV,Liverpool,Liverpool
Chelsea,CHE,Chelsea,Chelsea
West Ham,WHU,West Ham,WestHam
Huddersfield,HUD,Huddersfield,Huddersfield
Brighton,BRI,Brighton,Brighton
Newcastle United,NEW,Newcastle Utd,Newcastle
Fulham,FLH,Fulham,Fulham
Cardiff,CAR,Cardiff City,Cardiff
Wolverhampton Wanderers,WOL,Wolves,Wolves
Norwich,NOR,Norwich City,Norwich
Sheffield United,SHE,Sheffield Utd,SheffieldUnited
Aston Villa,AVL,Aston Villa,AstonVilla
Leeds,LED,Leeds United,Leeds
Brentford,BRE,Brentford,Brentford
Nottingham Forest,NOT,Nott'ham Forest,Forest
